BADGE,CURRENT_TRANSFORMER_OLD,RECOMMENDED_TRANSFORMER_OLD,CLUSTER_OLD,CURRENT_TRANSFORMER_NEW,RECOMMENDED_TRANSFORMER_NEW,CLUSTER_NEW,STATUS
1002578,19834.0,418.0,498.0,,,,no_longer_flagged
1002581,139847.0,140156.0,1120.0,,,,no_longer_flagged
1002584,375329.0,375327.0,312.0,375329.0,375330.0,813.0,recommendation_changed
1002598,497035.0,389899.0,1130.0,497035.0,535853.0,1220.0,recommendation_changed
1002612,24265.0,10453.0,1112.0,24265.0,10453.0,1200.0,unchanged
1002642,3102.0,3101.0,1153.0,3102.0,3101.0,1244.0,unchanged
1002644,24950.0,24877.0,1155.0,24950.0,24877.0,1246.0,unchanged
1002677,20780.0,20760.0,1181.0,20780.0,20760.0,1272.0,unchanged
1002678,17682.0,17646.0,1182.0,17682.0,17646.0,1273.0,unchanged
1002683,25593.0,25577.0,1187.0,25593.0,25601.0,1278.0,recommendation_changed
1002715,15893.0,15898.0,750.0,,,,no_longer_flagged
1002903,377426.0,377421.0,1235.0,,,,no_longer_flagged
1002932,10486.0,10430.0,1253.0,10486.0,10430.0,1344.0,unchanged
1002933,56312.0,32607.0,1254.0,,,,no_longer_flagged
1003542,11956.0,11954.0,1264.0,11956.0,11954.0,1355.0,unchanged
1003548,10492.0,66533.0,364.0,,,,no_longer_flagged
1003550,7892.0,22915.0,1269.0,,,,no_longer_flagged
1003572,5502.0,5509.0,161.0,,,,no_longer_flagged
1003573,5502.0,5509.0,161.0,,,,no_longer_flagged
1003575,5502.0,5509.0,161.0,,,,no_longer_flagged
1003579,19712.0,133420.0,793.0,,,,no_longer_flagged
1003583,19694.0,19693.0,221.0,19694.0,19709.0,235.0,recommendation_changed
1003603,19687.0,19691.0,174.0,19687.0,19691.0,183.0,unchanged
1003609,19710.0,19711.0,1299.0,19710.0,19711.0,1397.0,unchanged
1003612,19695.0,19685.0,1292.0,19695.0,19685.0,1389.0,unchanged
1003615,19685.0,19682.0,1301.0,19685.0,19682.0,1399.0,unchanged
1003621,19712.0,133420.0,793.0,,,,no_longer_flagged
1003622,11542.0,11540.0,612.0,11542.0,11499.0,1186.0,recommendation_changed
1003630,506657.0,5499.0,1308.0,,,,no_longer_flagged
1003639,19696.0,19690.0,153.0,19696.0,19690.0,162.0,unchanged
1003642,5507.0,5509.0,161.0,,,,no_longer_flagged
1003644,19702.0,19707.0,785.0,19702.0,19707.0,852.0,unchanged
1003645,19702.0,19707.0,785.0,19702.0,19707.0,852.0,unchanged
1003659,302.0,298.0,187.0,302.0,298.0,200.0,unchanged
1003661,19709.0,19693.0,221.0,,,,no_longer_flagged
1003663,,,,19694.0,19709.0,235.0,newly_flagged
1003680,19706.0,19693.0,221.0,,,,no_longer_flagged
1003681,19706.0,19693.0,221.0,,,,no_longer_flagged
1003682,19706.0,19693.0,221.0,,,,no_longer_flagged
1003683,19706.0,19693.0,221.0,,,,no_longer_flagged
1003686,5474.0,5472.0,225.0,5474.0,5472.0,239.0,unchanged
1003687,5470.0,5461.0,1328.0,,,,no_longer_flagged
1003688,19685.0,19695.0,1290.0,19685.0,19695.0,1387.0,unchanged
1003697,455.0,19855.0,743.0,455.0,19855.0,808.0,unchanged
1003698,,391273.0,1332.0,391273.0,391282.0,1433.0,recommendation_changed
1003700,19709.0,19693.0,221.0,,,,no_longer_flagged
1003702,19709.0,19693.0,221.0,,,,no_longer_flagged
1003703,21911.0,21917.0,1334.0,21911.0,21917.0,1435.0,unchanged
1003704,19705.0,19703.0,1322.0,19705.0,19703.0,1422.0,unchanged
