OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
1528,8,8,4
15280,9,9,2
15287,3,3,3
15288,6,6,2
15289,5,5,3
15290,15,15,6
15295,74,74,8
15303,8,8,2
15309,6,6,3
15310,8,8,2
15315,6,6,2
15330,6,6,2
15342,7,7,2
15346,11,11,4
15348,8,8,2
15355,6,6,3
15358,7,7,2
15360,9,9,2
15361,10,10,2
15363,3,3,3
15372,5,5,3
15373,6,6,3
15374,4,4,2
15387,3,3,2
15389,10,10,2
15390,9,9,2
1540,8,8,2
15404,9,9,2
15405,16,16,4
15406,7,7,3
1541,9,9,2
15419,2,2,2
15420,7,7,2
15423,7,7,2
15426,22,22,2
15427,6,6,4
1543,8,8,2
15430,12,12,2
15432,10,10,3
15435,8,8,4
15438,9,9,2
15439,6,6,2
15440,4,4,3
15443,7,7,2
15450,8,8,2
15456,10,10,4
15461,15,15,2
15463,7,7,2
15465,14,14,2
15467,8,8,3
1547,7,7,2
15473,3,3,2
15476,8,8,3
15477,7,7,2
15478,6,6,3
1548,3,3,2
15480,8,8,3
15482,8,8,2
15485,10,10,2
15490,6,6,2
15491,10,10,2
15497,7,7,2
15505,10,10,2
15510,5,5,3
15513,7,7,2
15523,8,8,2
15528,8,8,2
1554,8,8,2
15540,8,8,2
15541,7,7,2
15550,2,2,2
15557,16,16,2
15561,5,5,2
15563,3,3,2
15565,10,10,6
1557,10,10,2
15570,7,7,2
15574,12,12,3
1558,17,17,2
15595,7,7,2
15598,53,53,9
15599,2,2,2
15604,8,8,2
15605,3,3,2
15609,16,16,3
1562,12,12,2
15622,6,6,2
15628,8,8,2
15631,3,3,2
15633,8,8,3
1564,5,5,2
15656,5,5,2
15663,5,5,5
15675,3,3,3
15685,6,6,6
15687,5,5,5
15697,16,16,4
15702,6,6,3
15707,7,7,2
1571,17,17,5
15710,6,6,2
15714,16,16,3
15716,12,12,2
1572,8,8,2
15725,7,7,2
15726,7,7,2
15728,4,4,3
15733,7,7,2
15741,2,2,2
1575,8,8,2
15757,4,4,2
15767,2,2,2
15768,2,2,2
1578,7,7,2
15785,8,8,2
15789,11,11,2
15790,8,8,2
15794,12,12,2
15798,2,2,2
15802,8,8,3
15814,20,20,3
15819,10,10,2
15834,9,9,2
15840,9,9,2
15849,27,27,3
15850,6,6,2
15853,8,8,2
15857,43,43,6
15858,6,6,3
15878,17,17,2
15879,2,2,2
15891,10,10,3
15892,2,2,2
159,8,8,3
15902,4,4,3
15909,4,4,3
15910,10,10,4
15920,7,7,2
15921,6,6,3
15925,4,4,2
15935,6,6,2
15939,7,7,2
