BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1096827,396077,396078,25406,8,8,1,7,0.875,0.75
1232995,,26111,25667,9,8,0,6,0.75,0.75
1124384,2431,2452,25748,8,8,1,7,0.875,0.75
1183770,280966,24453,25797,8,8,1,7,0.875,0.75
1096730,11533,11522,25845,8,8,1,7,0.875,0.75
1099523,13025,13076,26360,8,8,1,7,0.875,0.75
1110155,17039,17037,26571,8,8,1,7,0.875,0.75
1102271,16923,16961,27187,8,8,1,7,0.875,0.75
1109075,26584,16913,27838,8,8,1,7,0.875,0.75
1111205,86366,86365,29060,8,8,1,7,0.875,0.75
1114013,25505,25508,30382,8,8,1,7,0.875,0.75
1115321,50858,50857,30756,8,8,1,7,0.875,0.75
1233008,,439455,31341,10,8,0,6,0.75,0.75
1232982,,439455,31341,10,8,0,6,0.75,0.75
1154281,473025,473020,31372,8,8,1,7,0.875,0.75
1119131,425115,429851,31377,8,8,1,7,0.875,0.75
1220928,12542,25051,31927,8,8,1,7,0.875,0.75
1123083,25391,13336,32181,8,8,1,7,0.875,0.75
1123169,12869,12870,32231,8,8,1,7,0.875,0.75
1302245,1358,1378,32349,8,8,1,7,0.875,0.75
1123790,12073,12046,32373,8,8,1,7,0.875,0.75
1123711,12104,12160,32395,8,8,1,7,0.875,0.75
1205608,1420,1418,32751,8,8,1,7,0.875,0.75
1125299,1267,20047,32770,8,8,1,7,0.875,0.75
1176845,20763,20774,33348,8,8,1,7,0.875,0.75
1127612,21407,21400,33626,8,8,1,7,0.875,0.75
1286232,20421,20440,33653,8,8,1,7,0.875,0.75
1170140,10422,24220,33675,8,8,1,7,0.875,0.75
1154340,17363,17409,33843,8,8,1,7,0.875,0.75
1299023,7285,7306,34146,8,8,1,7,0.875,0.75
1283075,7359,7373,34158,8,8,1,7,0.875,0.75
1138100,12478,12415,34388,8,8,1,7,0.875,0.75
1282871,153292,2112,34587,8,8,1,7,0.875,0.75
1303867,6910,6890,35822,8,8,1,7,0.875,0.75
1136190,8501,8681,36412,8,8,1,7,0.875,0.75
1298458,21703,4923,36838,8,8,1,7,0.875,0.75
1152942,19438,27362,40112,8,8,1,7,0.875,0.75
1155299,146556,146557,40840,8,8,1,7,0.875,0.75
1156715,84768,20436,41218,8,8,1,7,0.875,0.75
1196560,11163,11180,41688,8,8,1,7,0.875,0.75
1187329,26227,26204,42910,8,8,1,7,0.875,0.75
1202639,21760,27161,43784,8,8,1,7,0.875,0.75
1187590,227516,227517,43857,8,8,1,7,0.875,0.75
1208547,13393,13431,43911,8,8,1,7,0.875,0.75
1221052,12580,12578,43953,8,8,1,7,0.875,0.75
1175221,24784,24745,44928,8,8,1,7,0.875,0.75
1183710,26015,2943,46982,8,8,1,7,0.875,0.75
1197147,11212,11190,49343,8,8,1,7,0.875,0.75
1207682,12416,12485,49471,8,8,1,7,0.875,0.75
1199527,9611,9520,50013,8,8,1,7,0.875,0.75
1217401,10075,10161,50170,8,8,1,7,0.875,0.75
1226176,9411,9357,50718,8,8,1,7,0.875,0.75
1210400,13487,25423,52151,8,8,1,7,0.875,0.75
1223022,11180,11192,52543,8,8,1,7,0.875,0.75
