NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
13258,6,6,4
13259,13,13,4
13260,2,2,2
13261,2,2,2
13262,4,4,2
1327,13,13,4
13274,7,7,3
13276,7,7,2
13290,6,6,2
13291,7,7,2
13297,7,7,2
13298,8,8,3
13305,7,7,2
13306,7,7,2
13308,8,8,2
13309,10,10,2
1331,7,7,2
13315,10,10,2
1332,8,8,2
13332,4,4,2
13333,4,4,2
13340,10,10,2
1335,11,11,5
13352,2,2,2
13353,8,8,2
13355,9,9,2
13358,8,8,2
1336,7,7,4
1337,10,10,2
13376,7,7,5
13379,2,2,2
1338,6,6,3
13382,9,9,6
13386,7,7,2
13400,7,7,2
13404,8,8,2
13420,12,12,4
13428,8,8,2
1343,4,4,3
13434,9,9,2
13439,8,8,2
1344,2,2,2
13454,9,9,3
13466,7,7,2
13468,11,11,3
13469,8,8,2
13470,7,7,2
13480,9,9,2
13481,12,12,2
13482,9,9,2
13491,10,10,3
13493,11,11,3
13496,6,6,2
13499,9,9,2
1351,4,4,3
13516,8,8,2
13523,5,5,2
13529,8,8,2
13537,3,3,2
1354,7,7,3
13544,14,14,5
13547,7,7,2
1355,3,3,3
13554,9,9,3
13556,10,10,2
1357,7,7,2
13571,10,10,5
1358,6,6,2
13582,10,10,3
13584,7,7,2
13587,2,2,2
13588,7,7,2
13603,4,4,2
13604,10,10,3
13605,9,9,2
13607,7,7,2
1361,11,11,3
1362,6,6,2
13621,6,6,4
13627,2,2,2
1363,7,7,2
13643,15,15,2
13646,7,7,2
13650,14,14,6
13651,6,6,2
13655,10,10,2
13656,9,9,3
13659,6,6,3
13660,2,2,2
13675,10,10,7
13679,4,4,2
13681,7,7,2
13691,8,8,2
13696,9,9,2
13699,8,8,4
13715,6,6,2
13720,7,7,2
13730,2,2,2
13736,8,8,3
13737,7,7,2
13739,6,6,3
1375,7,7,2
13752,7,7,2
13754,6,6,2
13757,8,8,2
13758,7,7,2
13759,6,6,2
13768,8,8,3
1377,8,8,3
13770,9,9,3
13771,6,6,2
13772,8,8,3
13783,7,7,3
13786,2,2,2
13788,8,8,2
13790,4,4,2
13793,6,6,2
13794,4,4,2
1380,8,8,2
13800,7,7,2
13805,8,8,2
1381,9,9,2
13814,9,9,2
1382,8,8,3
13821,10,10,2
13825,8,8,2
13831,3,3,2
13836,5,5,4
13837,2,2,2
13841,10,10,2
13848,6,6,3
1387,11,11,3
13871,7,7,2
1388,8,8,2
13884,7,7,2
13885,9,9,2
13889,6,6,2
1389,10,10,2
13892,9,9,3
13894,9,9,2
13905,10,10,2
13906,9,9,3
13914,6,6,2
13917,4,4,3
13920,4,4,2
13924,9,9,3
13925,9,9,2
1393,8,8,2
13932,6,6,2
13933,5,5,2
1394,2,2,2
13948,9,9,2
13955,9,9,2
13956,7,7,2
13964,7,7,2
13965,8,8,2
13975,5,5,4
13979,7,7,2
1398,6,6,2
13986,8,8,2
13988,7,7,2
1399,11,11,4
13990,7,7,2
13991,4,4,2
13994,2,2,2
13995,7,7,3
13997,7,7,2
13998,10,10,4
14002,8,8,2
14009,15,15,5
1401,9,9,2
14011,12,12,4
14012,7,7,2
14016,8,8,2
14017,3,3,2
14018,8,8,3
14019,6,6,2
14020,7,7,3
14029,2,2,2
14032,8,8,2
14042,8,8,3
14043,7,7,2
14045,10,10,3
14046,7,7,2
14049,7,7,2
14054,8,8,2
14055,7,7,2
14060,11,11,3
14065,6,6,3
14066,4,4,2
14068,6,6,2
14069,9,9,2
14075,11,11,2
14079,10,10,2
14082,7,7,2
14084,10,10,2
14085,10,10,2
14087,13,13,2
14089,5,5,2
14090,6,6,3
14094,9,9,2
14096,5,5,3
14097,5,5,3
14099,10,10,4
1410,9,9,2
14100,8,8,4
14105,7,7,3
14106,8,8,2
14108,6,6,3
1411,9,9,4
14111,6,6,2
14114,9,9,4
14117,8,8,2
1413,7,7,2
14130,16,16,4
14136,5,5,3
14142,4,4,2
14145,7,7,2
14146,3,3,2
14150,9,9,2
14151,6,6,4
14157,13,13,5
14159,5,5,2
1416,7,7,2
14161,8,8,2
14165,8,8,5
14168,8,8,2
14169,10,10,3
14170,8,8,2
14171,9,9,3
14172,9,9,2
14176,8,8,2
14178,10,10,2
1418,12,12,2
14181,6,6,2
14183,11,11,3
14184,5,5,4
14185,8,8,2
14186,6,6,2
14190,4,4,2
14191,13,13,6
14192,3,3,3
14196,8,8,3
1420,10,10,2
14200,8,8,2
14201,8,8,4
14202,8,8,2
14204,5,5,2
14213,6,6,2
14223,7,7,2
14224,8,8,2
14238,4,4,3
1424,8,8,2
14246,6,6,6
14248,11,11,4
14253,8,8,4
14255,7,7,4
14260,10,10,2
14264,7,7,2
14265,6,6,2
14273,13,13,7
14274,10,10,3
14275,6,6,2
1428,6,6,2
14280,7,7,2
14284,12,12,2
14289,6,6,2
14294,10,10,2
14297,7,7,2
14298,8,8,3
14299,8,8,2
1430,2,2,2
14301,7,7,2
14303,5,5,2
14304,7,7,2
14306,6,6,2
1431,7,7,2
14311,3,3,2
14315,14,14,3
14321,14,14,3
14328,8,8,3
14330,8,8,2
14335,10,10,2
14337,2,2,2
14344,10,10,2
14350,17,17,2
14352,8,8,2
14353,9,9,2
14354,8,8,2
14356,6,6,2
14358,7,7,6
14360,9,9,2
14364,9,9,2
14366,6,6,2
1437,2,2,2
14372,5,5,2
14377,11,11,3
14387,3,3,2
14388,8,8,2
14390,13,13,2
14394,8,8,2
14395,6,6,2
14398,17,17,3
1440,7,7,2
14400,6,6,2
14403,9,9,2
14405,8,8,2
14409,11,11,2
14415,7,7,2
14416,6,6,4
14417,7,7,3
14424,8,8,4
14426,5,5,2
14431,8,8,2
14435,8,8,2
14436,12,12,2
1444,9,9,4
14441,10,10,2
1445,7,7,2
14452,14,14,4
14468,30,30,5
14470,9,9,4
14473,7,7,2
1448,2,2,2
1449,2,2,2
14493,16,16,6
14496,7,7,2
14505,7,7,2
14506,8,8,2
14516,5,5,5
14519,7,7,2
14526,7,7,2
14527,9,9,2
14533,7,7,2
14534,6,6,2
14536,9,9,3
1454,9,9,2
14544,7,7,2
14545,8,8,2
1455,8,8,2
14551,4,4,2
14552,4,4,2
14557,8,8,2
14561,7,7,3
14579,10,10,2
14583,2,2,2
14596,14,14,4
14603,9,9,6
14608,7,7,2
14616,6,6,2
14618,7,7,2
14624,8,8,2
14625,6,6,2
14629,6,6,2
14634,4,4,2
14636,13,13,4
14638,9,9,4
14644,12,12,3
14649,8,8,3
14653,9,9,3
14658,8,8,2
1466,7,7,2
14663,6,6,2
14670,7,7,2
14674,9,9,2
14681,10,10,2
14682,8,8,3
14685,7,7,2
14686,10,10,2
1469,8,8,2
14694,8,8,2
14705,7,7,2
14711,7,7,2
14728,5,5,2
14731,3,3,2
14732,12,12,4
14734,8,8,3
14736,12,12,3
14738,8,8,2
14740,7,7,2
14742,5,5,2
14746,8,8,2
14747,2,2,2
14753,12,12,3
14758,10,10,3
14759,6,6,4
14762,9,9,2
14763,7,7,3
14764,8,8,3
14766,10,10,2
14771,9,9,3
14773,5,5,2
14774,7,7,2
14776,4,4,2
14777,8,8,2
14785,3,3,2
14786,8,8,2
14787,4,4,3
14788,8,8,2
1479,5,5,2
14791,12,12,3
14796,5,5,3
14797,7,7,2
14800,2,2,2
14804,6,6,3
14806,9,9,3
14808,3,3,3
14816,11,11,5
14818,10,10,2
14820,4,4,2
14822,5,5,3
14831,3,3,3
14845,4,4,2
14846,6,6,2
14847,6,6,2
14848,2,2,2
14849,8,8,2
14850,2,2,2
14852,6,6,3
14858,7,7,4
14859,2,2,2
14862,6,6,2
14863,10,10,2
14868,2,2,2
14872,3,3,2
14881,6,6,2
14883,7,7,2
14888,6,6,3
14889,7,7,2
14890,9,9,3
14893,10,10,3
14895,8,8,3
14903,2,2,2
14910,8,8,2
14916,4,4,2
14920,8,8,2
14922,7,7,2
14924,4,4,4
14928,6,6,3
14931,10,10,2
14936,6,6,2
14938,7,7,3
14939,7,7,3
14941,7,7,2
14943,9,9,5
14946,7,7,2
1495,8,8,3
14952,3,3,2
14953,2,2,2
14954,2,2,2
14957,10,10,2
14963,5,5,2
14966,7,7,3
1497,5,5,3
14972,2,2,2
14976,2,2,2
14979,7,7,2
14981,12,12,4
14984,8,8,2
14988,2,2,2
14989,21,21,2
1499,7,7,2
14997,9,9,2
15000,9,9,2
15004,7,7,2
15009,6,6,2
15013,7,7,2
15018,9,9,2
15025,20,20,3
15034,13,13,3
15035,7,7,2
15037,8,8,2
15038,2,2,2
15040,2,2,2
15043,7,7,2
15044,4,4,4
15045,8,8,2
15051,2,2,2
15052,12,12,2
15060,8,8,4
15065,9,9,4
15066,3,3,3
15067,3,3,3
15068,4,4,2
15069,3,3,2
15070,7,7,3
15071,3,3,3
15074,4,4,3
15075,11,11,3
15079,8,8,3
15082,5,5,2
15087,6,6,3
15089,7,7,2
15093,7,7,3
15098,12,12,2
151,7,7,2
15108,5,5,5
15109,4,4,2
15110,8,8,2
15111,6,6,4
15115,7,7,2
15119,6,6,2
1512,6,6,4
15123,10,10,3
1513,6,6,2
15131,25,25,10
15133,6,6,3
15138,9,9,2
15145,9,9,3
15149,7,7,3
15161,8,8,3
15164,7,7,6
15166,6,6,2
15167,5,5,3
1517,7,7,2
15171,8,8,2
15174,10,10,2
15175,9,9,2
15198,8,8,4
15201,4,4,2
15204,3,3,2
15205,13,13,4
15213,2,2,2
15223,9,9,3
15234,7,7,2
15237,13,13,6
15239,9,9,3
15248,3,3,2
15249,3,3,3
1525,8,8,3
15255,6,6,4
15261,8,8,4
15262,15,15,8
15263,2,2,2
15270,7,7,2
15271,7,7,2
15276,13,13,4
15279,4,4,2
15288,8,8,2
15289,5,5,2
15290,11,11,3
15291,2,2,2
15292,2,2,2
15296,10,10,3
15305,11,11,2
15309,2,2,2
15310,10,10,3
15313,6,6,2
15315,2,2,2
15316,5,5,2
15317,8,8,3
15320,10,10,6
15323,2,2,2
15325,8,8,2
15331,9,9,2
15332,7,7,2
15336,8,8,4
15338,6,6,3
1534,6,6,2
15350,10,10,2
15353,8,8,2
1536,10,10,2
15371,12,12,3
15372,8,8,3
15373,12,12,4
15374,8,8,2
15378,7,7,2
15379,5,5,3
15380,2,2,2
15384,9,9,2
15386,8,8,4
15388,12,12,5
15389,2,2,2
15391,8,8,3
15393,6,6,3
15402,7,7,2
15404,9,9,2
15409,2,2,2
1541,7,7,2
15411,9,9,2
15412,14,14,2
15414,8,8,2
15418,7,7,3
15423,6,6,2
15425,5,5,4
15428,8,8,2
15432,7,7,3
15435,11,11,3
15436,3,3,3
15437,3,3,3
15446,9,9,3
15447,2,2,2
15448,3,3,2
15450,7,7,3
15454,8,8,2
15458,2,2,2
15470,2,2,2
15474,12,12,2
15475,7,7,2
15482,10,10,2
15491,2,2,2
15494,5,5,2
15495,8,8,3
15496,2,2,2
15497,8,8,2
15498,8,8,2
1550,9,9,3
15507,9,9,2
1551,14,14,9
15510,3,3,2
15515,26,26,5
15516,7,7,2
15523,12,12,4
15525,22,22,4
15526,10,10,5
15527,3,3,2
15531,2,2,2
15533,10,10,2
15535,14,14,4
15540,3,3,2
15541,2,2,2
15544,2,2,2
15547,6,6,5
15548,8,8,4
1555,6,6,2
15558,2,2,2
15581,2,2,2
15582,7,7,3
15583,14,14,4
15588,9,9,2
1559,11,11,2
15591,15,15,3
15596,10,10,2
1560,2,2,2
15602,9,9,2
15607,4,4,3
15609,3,3,2
