BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1002540,7,9,2,0,0.75
1002542,7,7,1,1,0.7143
1002543,7,7,1,1,0.7143
1002544,8,1,0,7,0.0
1002545,8,6,0,2,0.7143
1002546,8,6,0,2,0.7143
1002547,8,6,0,2,0.7143
1002548,7,7,1,1,0.7143
1002549,7,7,1,1,0.7143
1002553,6,7,1,0,0.8333
1002554,6,7,1,0,0.8333
1002557,13,7,1,7,0.3846
1002558,7,5,0,2,0.6667
1002559,12,6,0,6,0.4545
1002561,10,6,0,4,0.5556
1002562,10,4,0,6,0.3333
1002563,10,6,0,4,0.5556
1002564,18,7,0,11,0.3529
1002565,7,6,0,1,0.8333
1002566,18,7,0,11,0.3529
1002567,7,6,0,1,0.8333
1002568,8,6,0,2,0.7143
1002569,1,7,6,0,0.0
1002570,8,1,0,7,0.0
1002571,6,7,1,0,0.8333
1002572,6,7,1,0,0.8333
1002573,6,7,1,0,0.8333
1002578,2,1,0,1,0.0
1002580,7,1,0,6,0.0
1002581,17,8,0,9,0.4375
1002584,26,17,4,13,0.4138
1002585,7,6,0,1,0.8333
1002589,7,6,0,1,0.8333
1002590,10,9,0,1,0.8889
1002598,14,8,0,6,0.5385
1002600,4,3,0,1,0.6667
1002601,4,3,0,1,0.6667
1002603,7,8,1,0,0.8571
1002609,9,10,1,0,0.8889
1002612,10,6,0,4,0.5556
1002613,10,4,0,6,0.3333
1002617,9,10,1,0,0.8889
1002622,9,10,1,0,0.8889
1002624,7,1,0,6,0.0
1002625,7,8,2,1,0.625
1002626,9,8,0,1,0.875
1002628,8,1,0,7,0.0
1002629,8,8,1,1,0.75
1002630,8,8,1,1,0.75
1002631,8,8,1,1,0.75
1002632,7,6,0,1,0.8333
1002634,7,9,2,0,0.75
1002635,5,3,0,2,0.5
1002640,8,10,2,0,0.7778
1002643,7,6,0,1,0.8333
1002644,14,12,0,2,0.8462
1002645,6,7,1,0,0.8333
1002646,7,9,2,0,0.75
1002662,9,8,0,1,0.875
1002671,4,3,0,1,0.6667
1002673,7,1,0,6,0.0
1002676,9,5,0,4,0.5
1002679,9,2,0,7,0.125
1002681,6,7,1,0,0.8333
1002683,12,19,15,8,0.1154
1002687,5,12,8,1,0.25
1002690,7,6,0,1,0.8333
1002691,7,6,0,1,0.8333
1002696,7,6,0,1,0.8333
1002697,1,7,6,0,0.0
1002701,15,8,0,7,0.5
1002705,1,6,5,0,0.0
1002707,5,6,1,0,0.8
1002708,5,6,1,0,0.8
1002715,109,14,1,96,0.1101
1002716,8,9,1,0,0.875
1002718,7,6,0,1,0.8333
1002719,5,6,1,0,0.8
1002721,1,8,7,0,0.0
1002722,7,8,1,0,0.8571
1002729,7,4,0,3,0.5
1002730,7,8,1,0,0.8571
1002731,9,5,0,4,0.5
1002732,2,9,7,0,0.125
1002890,8,9,1,0,0.875
1002895,17,20,3,0,0.8421
1002896,8,7,0,1,0.8571
1002897,8,9,1,0,0.875
1002898,17,20,3,0,0.8421
1002902,6,7,1,0,0.8333
1002903,29,6,1,24,0.1379
1002904,1,2,1,0,0.0
1002907,9,6,0,3,0.625
1002910,2,1,0,1,0.0
1002933,4,2,0,2,0.3333
1003546,6,1,0,5,0.0
1003548,13,6,0,7,0.4167
1003550,7,1,0,6,0.0
1003551,7,1,0,6,0.0
1003554,6,1,0,5,0.0
1003572,14,4,0,10,0.2308
1003573,14,4,0,10,0.2308
1003574,4,2,0,2,0.3333
1003575,14,4,0,10,0.2308
1003576,9,3,0,6,0.25
1003579,9,1,0,8,0.0
1003580,11,6,0,5,0.5
1003581,11,6,0,5,0.5
1003583,27,13,1,15,0.4074
1003585,4,2,0,2,0.3333
1003588,3,2,0,1,0.5
1003589,14,1,0,13,0.0
1003591,3,2,0,1,0.5
1003594,6,7,1,0,0.8333
1003596,27,7,0,20,0.2308
1003599,27,7,0,20,0.2308
1003601,2,1,0,1,0.0
1003603,11,6,0,5,0.5
1003612,6,7,1,0,0.8333
