BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY,BADGE_SPID,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_LID,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_LID,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1088265,,487549,19474,8,6,0,6,1.0,1.0,1.0,7,3,3,1.0,8527349469,9361 TWIN SISTERS DR,COLO SPGS,38.91833794,-104.6526897,,-104.6526897,38.91833794,38.918331,-104.652679,1.2,False,,,,,,,,,PD110030,PD110030,12FR-32,UG Transformer Bank,RBLR57-12,38.91854142,-104.6527708,50,,23.7,new_assignment
1225733,,487549,19474,8,6,0,6,1.0,1.0,1.0,7,3,3,1.0,9003432810,9349 TWIN SISTERS DR,COLO SPGS,38.91833517,-104.6528975,,-104.6528975,38.91833517,38.918328,-104.652887,1.2,False,,,,,,,,,PD110030,PD110030,12FR-32,UG Transformer Bank,RBLR57-12,38.91854142,-104.6527708,50,,25.4,new_assignment
1257422,,17101,21626,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,4030774019,,,38.80197921,-104.7476949,,-104.7476949,38.80197921,38.801973,-104.747685,1.1,False,,,,,,,,,UG32282,UG032282,13PV-4,UG Transformer Bank,RPPP-131,38.80185695,-104.7477411,25,,14.2,new_assignment
1097208,,536190,22694,8,6,0,6,1.0,1.0,1.0,7,3,3,1.0,2228832468,5396 DEVERS CT,COLO SPGS,38.75466802,-104.665874,12HZ-13,-104.665874,38.75466802,38.754631,-104.665864,4.2,False,,,,,,,,,PD110652,PD110652,12HZ-13,UG Transformer Bank,RBH1-19,38.75490331,-104.6657127,50,,29.7,new_assignment
1097145,,536190,22694,8,6,0,6,1.0,1.0,1.0,7,3,3,1.0,9573119575,5348 DEVERS CT,COLO SPGS,38.75504329,-104.665886,12HZ-13,-104.665886,38.75504329,38.755014,-104.665876,3.4,False,,,,,,,,,PD110652,PD110652,12HZ-13,UG Transformer Bank,RBH1-19,38.75490331,-104.6657127,50,,21.6,new_assignment
1179888,,477901,22705,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,2057562035,5753 MIRELAND VW,COLO SPGS,38.91562519,-104.6622865,12FR-32,-104.6622865,38.91562519,38.915591,-104.662283,3.8,False,,,,,,,,,PD110535,PD110535,12FR-32,UG Transformer Bank,RBLR38-2,38.9155203,-104.6624153,25,,16.1,new_assignment
1232533,,389930,22738,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,9964991550,9711 FEATHERGRASS DR,COLO SPGS,38.93486352,-104.6492483,12FR-32,-104.6492483,38.93486352,38.934827,-104.649239,4.1,False,,,,,,,,,PD107727,PD107727,12FR-32,UG Transformer Bank,RBLR42-9,38.93481641,-104.6488752,50,,32.7,new_assignment
1257693,,177915,25022,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,836151987,,,38.77310953,-104.7781229,,-104.7781229,38.77310953,38.773103,-104.778113,1.1,False,,,,,,,,,OH18019,OH018019,12BY-31,OH Transformer Bank,,38.77277861,-104.777503,25,,65.1,new_assignment
1275777,,349965,28518,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,1132052365,,,38.82986307,-104.8492129,,-104.8492129,38.82986307,38.829829,-104.849203,3.9,False,,,,,,,,,PD104749,PD104749,13FV-2,UG Transformer Bank,RGHM-105,38.83003608,-104.8496101,50,,39.4,new_assignment
1232538,,536367,31753,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,2584830947,1189 REDFISH PT,COLO SPGS,38.87113487,-104.8484798,12FT-1,-104.8484798,38.87113487,38.871142,-104.848498,1.8,False,,,,,,,,,PD109560,PD109560,12FT-1,UG Transformer Bank,RPMC-14,38.87109811,-104.8478769,50,,52.4,new_assignment
