BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1133393,,21114,30449,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1248301,,248004,30627,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1142917,,11602,30823,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1164441,,3667,35727,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1169183,,20955,36774,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1187889,,21516,40065,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257455,,14008,46492,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257712,,7913,46509,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1253760,,14484,46511,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257447,,1086,46512,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257444,,24984,46522,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1256892,,7691,46824,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257367,,258564,46831,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257370,,11985,46833,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257409,,22735,46837,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257410,,23433,46838,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257413,,5051,46840,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257414,,264325,46841,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257418,,27159,46842,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257419,,4489,46843,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257424,,25542,46845,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257443,,26678,46848,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257445,,16576,46849,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257454,,5210,46853,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257557,,4830,46856,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257569,,377629,46860,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257596,,476,46867,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257651,,6101,46881,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257653,,14180,46882,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1093931,18332,18361,21568,19,19,1,18,0.9474,0.8947,1.0,18,3,3,1.0
1093870,18361,18332,21853,18,18,1,17,0.9444,0.8889,1.0,17,3,3,1.0
1111512,25725,25720,25344,18,18,1,17,0.9444,0.8889,1.0,17,3,3,1.0
1116688,14342,25725,25940,18,18,1,17,0.9444,0.8889,1.0,17,3,3,1.0
1116256,14318,14342,1124,17,17,1,16,0.9412,0.8824,1.0,16,3,3,1.0
1080154,15897,15893,1144,17,17,1,16,0.9412,0.8824,1.0,16,3,3,1.0
1121136,19423,3567,12187,16,16,1,15,0.9375,0.875,1.0,15,3,3,1.0
1113152,25813,14647,25758,14,14,1,13,0.9286,0.8571,1.0,13,3,3,1.0
1287801,370272,370271,46237,14,14,1,13,0.9286,0.8571,1.0,13,3,3,1.0
1233000,,506645,23487,8,7,0,6,0.8571,0.8571,1.0,7,3,3,1.0
1000727,221438,5576,59,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
1008326,24698,24718,1724,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
1035302,286723,286724,3220,13,13,1,12,0.9231,0.8462,1.0,12,3,3,1.0
