OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
13931,6,6,2
13932,6,6,2
1394,2,2,2
13948,9,9,2
13955,9,9,2
13964,7,7,2
13965,8,8,5
13968,3,3,2
13969,5,5,3
13973,6,6,2
13975,5,5,2
13986,8,8,4
13988,7,7,2
13990,7,7,4
13991,4,4,2
13994,2,2,2
13995,7,7,2
13997,7,7,3
13998,10,10,4
14004,4,4,3
14009,15,15,4
14011,12,12,4
14012,7,7,3
14015,4,4,2
14017,3,3,2
14018,8,8,4
14019,6,6,2
14020,7,7,4
14023,6,6,2
14029,2,2,2
1403,8,8,2
14030,8,8,4
14042,8,8,2
14044,7,7,2
14046,7,7,2
14049,7,7,2
14054,8,8,3
14055,7,7,4
14060,11,11,6
14062,7,7,2
14065,6,6,2
14066,4,4,2
14068,6,6,2
14069,9,9,2
14074,7,7,2
14075,11,11,2
14079,10,10,3
14082,7,7,2
14085,10,10,3
14087,13,13,2
14089,5,5,3
14090,6,6,3
14094,9,9,3
14096,5,5,4
14097,5,5,3
14099,10,10,6
14100,8,8,4
14105,7,7,3
14108,6,6,3
1411,9,9,3
14111,6,6,2
14114,9,9,5
14115,7,7,2
14117,8,8,2
14126,3,3,2
14130,16,16,4
14134,7,7,2
14136,5,5,2
14137,7,7,3
14138,7,7,2
14142,4,4,2
14145,7,7,2
14146,3,3,2
14150,9,9,2
14151,6,6,3
14152,7,7,3
14154,6,6,3
14157,13,13,5
14161,8,8,2
14165,8,8,5
14169,10,10,2
14170,8,8,2
14171,9,9,2
14172,9,9,2
14178,10,10,4
14181,6,6,4
14182,11,11,6
14183,11,11,5
14184,5,5,5
14186,6,6,2
14188,6,6,2
14189,3,3,2
14190,4,4,2
14191,13,13,6
14192,3,3,3
14196,8,8,2
142,12,12,2
14201,8,8,6
14202,8,8,2
14204,5,5,2
14207,9,9,2
14210,4,4,2
14213,6,6,3
14223,7,7,4
14225,6,6,2
14229,3,3,2
14234,7,7,4
14237,2,2,2
14238,4,4,3
14240,3,3,2
14242,6,6,2
14246,6,6,5
14248,11,11,6
14249,6,6,2
14252,8,8,2
14253,8,8,4
14255,7,7,4
1426,5,5,2
14261,7,7,2
14262,7,7,4
14264,7,7,2
14265,6,6,3
14268,7,7,2
14273,13,13,6
14275,6,6,3
14277,14,14,6
14280,7,7,2
14289,6,6,2
14297,7,7,2
14299,8,8,2
1430,2,2,2
14303,5,5,2
14306,6,6,2
14311,3,3,3
14313,9,9,3
14315,14,14,2
14319,19,19,2
14320,7,7,2
14323,4,4,3
14328,8,8,4
1433,17,17,5
14332,8,8,3
14335,10,10,2
1434,8,8,2
14340,6,6,4
14344,10,10,2
14350,17,17,2
14353,9,9,2
14358,7,7,5
14359,6,6,3
14366,6,6,2
14368,12,12,4
1437,2,2,2
14370,4,4,2
14372,5,5,2
14377,11,11,3
14387,3,3,2
14388,8,8,2
14390,13,13,2
14394,8,8,2
14395,6,6,3
14398,17,17,2
1440,7,7,2
14400,6,6,2
14402,6,6,3
14404,8,8,2
14409,11,11,4
14416,6,6,5
14420,2,2,2
14424,8,8,3
14425,3,3,2
14426,5,5,2
14434,10,10,2
14435,8,8,2
1444,9,9,3
14440,8,8,3
14441,10,10,5
14445,6,6,2
14447,7,7,2
14448,7,7,2
14449,7,7,2
1445,7,7,2
14452,14,14,3
14460,7,7,4
14462,5,5,2
14468,30,30,6
14470,9,9,4
14472,3,3,3
14473,7,7,3
14474,5,5,3
14475,10,10,4
1448,2,2,2
14489,5,5,3
1449,2,2,2
14493,16,16,7
14496,7,7,4
14503,6,6,2
14505,7,7,2
14515,6,6,2
14516,5,5,5
14519,7,7,2
14526,7,7,2
14527,9,9,2
14530,6,6,2
14532,8,8,2
14536,9,9,2
14544,7,7,4
14545,8,8,2
14550,10,10,2
14552,4,4,4
14561,7,7,4
14562,6,6,3
14563,4,4,2
14564,7,7,2
14575,3,3,2
14583,2,2,2
14594,9,9,2
14596,14,14,6
14603,9,9,6
14616,6,6,4
