NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
18837,10,10,2
18839,11,11,2
18841,8,8,2
18844,4,4,2
18849,7,7,2
1885,7,7,2
1886,23,23,7
18875,4,4,2
18876,5,5,2
18878,5,5,2
18879,10,10,2
1888,9,9,4
18883,11,11,3
18884,7,7,3
18885,5,5,5
18890,4,4,3
18892,8,8,3
18894,9,9,3
18897,6,6,2
18909,6,6,2
18915,8,8,2
18916,9,9,3
18925,8,8,2
18937,9,9,2
18945,23,23,4
18946,3,3,2
18960,6,6,2
18964,10,10,4
18965,13,13,5
18966,8,8,3
18970,2,2,2
18971,2,2,2
18978,8,8,2
1898,18,18,6
18988,11,11,3
18995,8,8,2
18997,17,17,4
18999,17,17,3
19001,11,11,2
19003,8,8,2
19010,3,3,2
19031,12,12,2
19032,17,17,2
19050,7,7,2
19056,10,10,2
19058,6,6,3
19063,8,8,2
19064,7,7,4
19069,6,6,2
19072,5,5,4
19074,6,6,2
19075,5,5,2
19076,7,7,2
19077,7,7,2
19078,7,7,3
19081,6,6,2
19086,7,7,2
19101,8,8,3
19105,11,11,2
19106,13,13,6
19107,7,7,2
19116,6,6,3
19130,13,13,2
19133,6,6,2
19149,17,17,2
19151,7,7,2
19154,13,13,2
19155,7,7,3
19161,8,8,2
19162,7,7,3
19180,6,6,2
19197,6,6,2
19208,7,7,5
19210,6,6,2
19213,6,6,2
19214,7,7,6
19215,6,6,3
19229,6,6,2
19239,7,7,4
19240,7,7,4
19244,6,6,2
19245,7,7,2
19248,7,7,2
1925,11,11,3
19252,7,7,2
19253,8,8,2
19256,6,6,2
19257,9,9,2
19261,10,10,3
19265,4,4,2
19266,5,5,2
1927,9,9,3
19293,7,7,2
19294,7,7,2
19304,7,7,2
19309,6,6,2
1931,4,4,2
1934,6,6,2
19345,12,12,2
19351,4,4,2
19385,7,7,2
19390,9,9,2
19391,8,8,2
19397,8,8,3
19404,6,6,2
19409,5,5,2
1941,12,12,3
19412,6,6,2
19427,8,8,2
19437,8,8,2
19444,7,7,3
19445,7,7,2
19455,7,7,2
19459,12,12,2
19473,4,4,2
19474,10,10,5
