OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
16690,7,7,2
16701,8,8,2
16707,18,18,2
1671,13,13,2
16743,7,7,2
16744,9,9,3
16749,8,8,2
16753,7,7,2
16756,8,8,2
16769,8,8,2
1677,8,8,3
16779,9,9,2
16780,11,11,2
16784,8,8,2
16794,12,12,2
16808,9,9,2
16818,6,6,2
16823,5,5,2
16826,5,5,2
16832,9,9,2
16834,11,11,3
16844,11,11,2
16848,11,11,2
16849,8,8,2
1685,7,7,2
16862,6,6,3
16866,7,7,2
16877,7,7,2
16878,7,7,2
16886,11,11,2
16887,7,7,2
1689,2,2,2
16903,7,7,2
16907,11,11,2
1691,6,6,2
16918,9,9,2
16928,20,20,2
1693,5,5,2
16942,11,11,2
16944,13,13,2
16951,16,16,2
16956,9,9,2
16959,7,7,2
16965,11,11,2
16968,26,26,4
16979,25,25,2
16991,8,8,2
170,8,8,2
17008,13,13,2
17014,9,9,3
17026,10,10,2
1703,9,9,2
17031,7,7,3
17039,12,12,3
17053,9,9,3
17070,8,8,2
17072,7,7,2
17074,11,11,2
17097,3,3,2
171,7,7,2
17100,14,14,4
17110,11,11,2
17119,8,8,2
17128,9,9,2
17137,15,15,2
17138,12,12,2
17154,8,8,2
17162,8,8,2
17178,8,8,3
17200,10,10,2
17225,7,7,2
17243,9,9,2
17254,9,9,2
17257,5,5,2
17264,8,8,2
17278,8,8,2
17308,5,5,2
1733,8,8,2
17330,12,12,2
17353,9,9,3
17367,5,5,2
1739,10,10,2
17398,2,2,2
17407,7,7,2
17412,6,6,2
17414,19,19,3
17420,9,9,3
17421,9,9,2
17432,2,2,2
17439,12,12,2
17440,15,15,2
17442,4,4,2
17456,7,7,3
17457,9,9,2
17463,8,8,2
17472,18,18,3
17482,9,9,2
17500,6,6,3
17502,9,9,2
17507,5,5,2
17511,7,7,2
17514,11,11,2
17516,8,8,2
17517,12,12,2
17520,10,10,3
17527,7,7,2
17529,16,16,2
17531,15,15,2
17533,4,4,2
17536,10,10,2
17541,8,8,2
17546,8,8,2
17547,8,8,2
17551,7,7,2
17559,7,7,2
17560,10,10,2
17562,8,8,2
17566,7,7,2
17572,3,3,2
17573,10,10,2
17575,7,7,2
17580,28,28,3
17581,15,15,2
17600,29,29,3
17601,9,9,2
17604,8,8,2
17608,8,8,2
17609,2,2,2
17612,5,5,2
17617,7,7,2
17619,10,10,4
17634,13,13,3
17636,4,4,2
17638,13,13,3
17651,2,2,2
17657,13,13,2
17662,8,8,2
17671,9,9,2
17675,7,7,2
17678,5,5,2
17687,8,8,2
17688,11,11,2
17692,20,20,3
17695,8,8,2
17704,8,8,2
17711,5,5,2
17712,8,8,3
17713,4,4,2
17719,6,6,3
17726,5,5,3
17730,5,5,2
17738,5,5,2
17744,4,4,2
17756,10,10,3
17760,4,4,2
17763,5,5,2
17784,8,8,2
17799,12,12,2
17810,3,3,2
17820,5,5,2
17823,8,8,2
17831,2,2,2
17840,19,19,4
17841,4,4,2
17847,8,8,2
1785,7,7,2
17851,4,4,2
17860,8,8,2
17861,24,24,2
17865,9,9,4
17901,11,11,2
17903,12,12,2
17904,11,11,3
17913,9,9,2
17915,7,7,2
17923,5,5,2
17931,10,10,3
17933,19,19,2
17937,8,8,2
17938,5,5,2
17942,9,9,2
17943,8,8,2
17952,13,13,3
17957,3,3,2
17959,10,10,2
1796,14,14,5
17960,9,9,2
17963,12,12,2
17971,4,4,2
17989,10,10,4
18,7,7,2
18003,8,8,2
18006,6,6,2
18022,5,5,3
18023,27,27,3
18028,7,7,2
18029,6,6,2
18030,4,4,2
18041,9,9,2
18044,6,6,2
1805,4,4,2
18055,15,15,2
1806,8,8,2
18063,8,8,2
18065,10,10,2
1807,7,7,2
18087,10,10,2
18091,10,10,3
18092,14,14,2
1810,7,7,3
18109,7,7,2
18117,8,8,2
1813,8,8,2
18133,10,10,2
18134,9,9,2
1817,7,7,2
18172,11,11,3
18173,7,7,2
18181,9,9,2
18184,5,5,3
18204,8,8,2
18215,9,9,2
18220,11,11,4
18224,11,11,2
18252,13,13,2
18257,7,7,2
18260,7,7,2
18271,8,8,3
18272,8,8,2
18280,7,7,2
1831,8,8,2
18315,11,11,2
18326,16,16,2
18356,8,8,2
18357,8,8,2
18365,5,5,2
18366,9,9,2
18371,4,4,2
18377,12,12,4
18383,2,2,2
18392,4,4,2
18393,9,9,2
18394,11,11,2
18396,7,7,2
18399,8,8,2
184,3,3,2
18413,2,2,2
18415,7,7,2
18426,12,12,2
18427,9,9,2
18438,7,7,2
18448,10,10,4
18449,11,11,2
18460,8,8,2
18466,5,5,2
18468,6,6,2
18470,6,6,2
18485,7,7,2
18486,2,2,2
1849,5,5,2
18512,17,17,6
18514,10,10,2
18516,9,9,2
1852,9,9,3
18521,3,3,2
18524,10,10,2
18534,6,6,2
18535,7,7,2
18548,8,8,3
1855,23,23,2
18566,8,8,2
18576,17,17,2
18588,13,13,2
18646,5,5,2
18665,7,7,2
18677,12,12,3
18683,5,5,2
18684,10,10,2
18695,8,8,2
1870,14,14,2
18742,5,5,2
18758,8,8,2
1877,3,3,2
18777,8,8,2
18792,11,11,2
18805,7,7,2
18815,12,12,2
18816,11,11,2
18822,7,7,2
18826,7,7,2
18829,8,8,2
18832,9,9,2
18845,7,7,2
18864,12,12,5
18866,8,8,2
18868,7,7,2
1888,2,2,2
18880,9,9,2
18885,2,2,2
18889,7,7,2
18899,8,8,2
189,5,5,2
18914,7,7,2
1893,9,9,2
18934,6,6,2
18937,9,9,4
18941,7,7,2
18942,5,5,2
18944,9,9,2
1895,14,14,4
18952,8,8,2
18963,7,7,3
18971,11,11,2
18974,7,7,2
18986,13,13,3
19006,7,7,3
19021,5,5,2
19026,7,7,2
19028,11,11,6
1903,8,8,2
19036,8,8,2
1904,8,8,3
19048,8,8,4
19054,7,7,3
19064,11,11,2
19076,6,6,5
19077,8,8,3
1908,15,15,4
19091,12,12,3
1911,7,7,2
19110,7,7,4
19114,7,7,2
19117,6,6,3
19119,10,10,4
19120,3,3,2
19122,4,4,2
19123,2,2,2
19124,2,2,2
19131,16,16,5
19133,4,4,2
19135,4,4,2
19136,7,7,2
19137,6,6,2
19138,2,2,2
19145,2,2,2
19149,15,15,3
19152,6,6,2
19153,14,14,5
19156,6,6,4
19159,7,7,2
19169,7,7,2
19176,11,11,3
19189,7,7,3
1919,3,3,2
19192,3,3,2
19196,3,3,2
192,7,7,2
19200,10,10,3
19206,6,6,2
1921,2,2,2
19210,6,6,3
19213,3,3,2
19216,3,3,2
19217,3,3,2
1922,9,9,3
19225,13,13,5
19226,2,2,2
19233,12,12,2
19245,12,12,2
1925,9,9,3
19254,2,2,2
19255,2,2,2
19256,9,9,4
1926,4,4,3
19269,3,3,2
19270,4,4,2
19272,2,2,2
19287,7,7,2
19288,3,3,2
19295,4,4,2
19297,7,7,2
1930,8,8,4
19305,12,12,4
19309,12,12,4
1931,8,8,3
19311,7,7,3
19329,9,9,3
19333,2,2,2
19338,11,11,3
19339,6,6,2
19341,11,11,5
19342,3,3,2
19350,7,7,3
19353,4,4,3
19354,10,10,4
19356,5,5,2
19364,9,9,2
19367,3,3,3
1937,8,8,2
19370,9,9,2
19371,3,3,3
1938,10,10,4
19384,3,3,3
19392,21,21,2
19395,7,7,2
19403,6,6,2
19405,7,7,2
19406,9,9,2
19408,5,5,2
19413,9,9,2
19420,2,2,2
19428,3,3,3
19438,7,7,3
19448,5,5,2
19449,8,8,2
19457,6,6,2
19463,15,15,2
1947,7,7,2
19476,22,22,3
1948,8,8,2
19485,7,7,2
19497,14,14,4
19501,7,7,2
19502,4,4,2
1953,13,13,4
19535,11,11,3
1954,7,7,2
19544,11,11,3
19550,10,10,3
19551,13,13,2
19564,6,6,2
1957,7,7,3
19574,12,12,3
19583,6,6,3
19590,14,14,5
19591,13,13,4
19592,2,2,2
19595,3,3,3
196,9,9,2
19611,7,7,2
19612,6,6,2
19619,6,6,2
19634,8,8,2
19635,13,13,4
19637,5,5,2
19640,4,4,2
19642,9,9,5
19650,6,6,2
19652,8,8,2
19653,2,2,2
19654,9,9,2
19662,2,2,2
19664,7,7,2
19671,2,2,2
19677,4,4,2
19679,6,6,2
19702,15,15,5
19711,8,8,3
19716,16,16,4
19717,3,3,2
1972,6,6,2
19725,9,9,2
1973,8,8,2
19743,6,6,2
19753,6,6,2
19755,7,7,4
19757,8,8,3
19759,6,6,2
19767,8,8,2
19783,10,10,2
19784,7,7,2
19785,10,10,4
19805,10,10,2
19809,13,13,2
19815,7,7,2
19819,10,10,4
19822,4,4,3
19824,4,4,2
19829,3,3,2
19831,8,8,3
19836,6,6,2
19848,16,16,4
19857,7,7,2
19863,7,7,2
19892,8,8,2
19896,7,7,2
19900,7,7,2
19903,7,7,2
19920,10,10,3
19928,4,4,2
19932,5,5,2
19938,2,2,2
19941,9,9,2
1995,6,6,2
19952,13,13,2
19953,15,15,2
19985,6,6,2
19986,6,6,2
19989,7,7,2
19990,7,7,2
19996,13,13,5
20001,5,5,2
20024,7,7,2
20026,8,8,2
20029,19,19,3
20036,2,2,2
20042,10,10,4
20053,7,7,2
20055,12,12,2
20072,10,10,2
20075,2,2,2
20088,5,5,2
2010,12,12,3
20116,9,9,2
20124,10,10,2
2013,9,9,3
20140,4,4,3
20142,8,8,2
20150,8,8,3
20151,4,4,3
20152,11,11,2
20159,7,7,2
20167,9,9,2
20169,3,3,3
20181,14,14,4
20182,7,7,2
20187,3,3,2
20194,5,5,2
20196,11,11,2
2020,16,16,3
20200,10,10,2
20204,8,8,2
20205,4,4,2
20206,7,7,2
20211,10,10,2
20213,12,12,3
20216,8,8,2
20217,6,6,3
20225,9,9,3
20227,6,6,3
20231,2,2,2
20245,5,5,2
20248,7,7,2
20259,12,12,3
20263,9,9,2
20267,2,2,2
2027,7,7,2
20278,9,9,2
20279,6,6,2
20286,3,3,3
20290,7,7,2
20291,7,7,2
20294,16,16,4
20295,4,4,2
20301,4,4,3
20305,7,7,2
20317,9,9,3
2033,7,7,2
20333,2,2,2
20344,9,9,2
20348,7,7,2
20349,7,7,2
2035,7,7,2
20351,8,8,3
20361,11,11,2
20364,5,5,2
20365,11,11,2
20383,6,6,2
20387,11,11,2
20394,17,17,2
20404,11,11,3
20408,8,8,2
2042,14,14,4
20423,9,9,3
20432,2,2,2
20440,6,6,2
20442,5,5,4
20448,2,2,2
20449,9,9,3
20452,7,7,2
20466,6,6,2
20468,8,8,3
2047,12,12,2
20480,5,5,2
20483,16,16,2
20489,7,7,2
20495,3,3,2
205,8,8,2
20500,5,5,2
20501,7,7,2
20506,14,14,2
2052,9,9,2
20527,3,3,2
2053,12,12,3
