transf_id,badge
30691,1002130
104283,1002131
705,1002132
689,1002133
704,1002134
689,1002135
19915,1002136
209600,1002137
209599,1002138
677,1002140
677,1002141
10913,1002142
10913,1002143
402,1002144
402,1002145
402,1002146
410,1002147
19827,1002148
19827,1002149
19827,1002150
19857,1002151
482,1002152
481,1002153
19861,1002154
478,1002155
482,1002156
492,1002157
481,1002159
19868,1002160
19868,1002161
19868,1002162
19868,1002163
432,1002164
462,1002165
438,1002166
19794,1002167
30695,1002168
30690,1002169
30693,1002170
30695,1002171
377568,1002172
377568,1002173
377568,1002174
376543,1002175
476,1002177
483,1002178
19860,1002179
376543,1002180
376543,1002181
376543,1002182
375328,1002183
377565,1002184
377565,1002185
377565,1002186
377565,1002187
19864,1002188
532,1002189
390,1002190
564,1002191
529,1002192
529,1002193
529,1002194
529,1002195
517,1002196
19881,1002197
255,1002198
12660,1002200
12660,1002201
12660,1002202
12660,1002203
655,1002204
655,1002205
674,1002207
529,1002208
529,1002209
540,1002210
540,1002211
674,1002212
674,1002213
674,1002214
674,1002215
377667,1002216
377668,1002217
377668,1002218
377667,1002219
8911,1002220
91163,1002221
66531,1002222
118707,1002223
19868,1002224
547,1002225
529,1002226
53723,1002227
73901,1002228
96290,1002229
118708,1002230
132153,1002231
390652,1002232
377668,1002233
377668,1002234
377668,1002235
377661,1002236
364699,1002237
377660,1002238
377660,1002239
481,1002240
478,1002241
478,1002242
481,1002243
727,1002245
727,1002246
727,1002247
25151,1002248
13149,1002249
13149,1002250
25194,1002251
674,1002252
690,1002253
434731,1002254
674,1002255
19850,1002256
529,1002257
530,1002258
19850,1002259
390,1002260
564,1002261
499,1002262
5556,1002263
10063,1002264
79023,1002265
350203,1002266
8252,1002267
153605,1002268
153605,1002270
540,1002272
540,1002273
540,1002274
530,1002275
355,1002276
303,1002277
368,1002278
304,1002279
668,1002280
633,1002281
53724,1002282
633,1002283
641,1002284
238718,1002285
642,1002286
19864,1002287
91176,1002288
94689,1002289
91177,1002290
94689,1002291
10696,1002292
10696,1002293
10696,1002294
10586,1002295
359729,1002296
359724,1002297
391390,1002298
377660,1002299
10755,1002300
24394,1002301
10696,1002302
10696,1002303
648,1002304
645,1002305
636,1002306
645,1002307
474,1002308
19826,1002309
19832,1002310
391,1002311
533,1002312
89569,1002313
661,1002314
550,1002315
650,1002316
671,1002317
650,1002318
661,1002319
19817,1002320
359,1002321
400,1002322
274,1002323
37429,1002324
9937,1002325
9600,1002326
9840,1002327
24337,1002328
19859,1002329
24337,1002330
10684,1002331
658,1002332
650,1002333
650,1002334
271998,1002335
359730,1002336
359730,1002337
359732,1002338
359730,1002339
359732,1002340
359724,1002341
359723,1002342
359732,1002343
19841,1002344
401,1002345
464,1002346
19830,1002347
10684,1002348
10755,1002349
10684,1002350
10755,1002351
9358,1002352
23758,1002353
9504,1002354
9395,1002355
131189,1002356
377667,1002357
377668,1002358
377667,1002359
377668,1002360
377659,1002361
377659,1002362
377660,1002363
359725,1002364
377659,1002365
377660,1002366
9449,1002367
290,1002368
291,1002369
19790,1002370
305,1002371
9451,1002372
9559,1002373
9537,1002374
9465,1002375
350233,1002376
350231,1002377
350231,1002378
350231,1002379
350233,1002380
377668,1002381
377668,1002382
377668,1002383
17063,1002384
58525,1002385
24607,1002386
58525,1002387
375330,1002388
375329,1002389
58525,1002391
10254,1002392
378125,1002393
10186,1002394
10186,1002395
376545,1002396
376545,1002397
375330,1002398
375330,1002399
13015,1002400
13015,1002401
25208,1002402
13015,1002403
25277,1002404
12954,1002406
13150,1002407
24736,1002408
11430,1002409
24638,1002410
11923,1002411
377661,1002412
11527,1002413
11527,1002414
11527,1002415
79967,1002416
56613,1002417
135034,1002418
10322,1002419
24642,1002420
2650,1002421
11498,1002422
24642,1002423
11487,1002424
11403,1002425
24618,1002426
11487,1002427
24065,1002428
24023,1002429
24065,1002430
24023,1002431
123829,1002432
123829,1002433
123829,1002434
123829,1002435
376544,1002436
376544,1002437
376544,1002438
376544,1002439
24638,1002440
24638,1002441
11435,1002442
11435,1002443
11435,1002444
24596,1002445
24596,1002446
24596,1002447
13134,1002448
13134,1002449
13134,1002450
343741,1002451
895,1002452
31004,1002454
30697,1002455
12790,1002456
12790,1002457
25179,1002458
25220,1002459
13017,1002460
25270,1002461
13017,1002462
25249,1002463
24638,1002464
24607,1002465
11527,1002466
11269,1002467
376544,1002468
377661,1002469
376544,1002470
376544,1002471
553,1002472
38694,1002473
343740,1002474
938,1002475
12854,1002476
12790,1002477
25270,1002478
25279,1002479
24669,1002480
24669,1002481
24669,1002482
24669,1002483
24669,1002484
24669,1002485
24669,1002486
24669,1002487
11540,1002488
11540,1002489
11540,1002490
11540,1002491
11442,1002492
11442,1002493
24671,1002494
11475,1002495
10286,1002496
10286,1002497
10286,1002498
10286,1002499
11580,1002500
11580,1002501
11580,1002502
11580,1002503
24383,1002504
24383,1002505
24383,1002506
24383,1002507
10813,1002508
10783,1002509
24375,1002510
24375,1002511
586,1002512
586,1002513
586,1002514
586,1002515
586,1002516
586,1002517
586,1002518
586,1002519
669,1002520
10829,1002521
56923,1002522
10829,1002523
591,1002524
30685,1002525
598,1002526
591,1002527
11487,1002528
11487,1002529
11487,1002530
11487,1002531
24729,1002532
11542,1002533
11542,1002534
24669,1002535
111980,1002536
12619,1002537
111980,1002538
111980,1002539
24685,1002540
24652,1002541
24612,1002542
24612,1002543
25127,1002544
25127,1002545
25127,1002546
25127,1002547
7398,1002548
7398,1002549
22762,1002550
22762,1002551
22762,1002552
22753,1002553
22753,1002554
22762,1002555
22992,1002556
22879,1002557
22867,1002558
6353,1002559
24190,1002560
10453,1002561
10453,1002562
10453,1002563
10217,1002564
10300,1002565
10217,1002566
10300,1002567
25127,1002568
12656,1002569
25127,1002570
12656,1002571
12656,1002572
12656,1002573
12656,1002574
12656,1002575
19834,1002576
19835,1002577
19834,1002578
418,1002579
35175,1002580
139847,1002581
25305,1002582
21680,1002583
375329,1002584
10908,1002585
10295,1002586
11377,1002587
145598,1002588
10908,1002589
113902,1002590
106863,1002591
24265,1002592
10584,1002593
24190,1002594
24265,1002595
24166,1002596
24190,1002597
497035,1002598
24190,1002599
24549,1002600
24549,1002601
24542,1002602
24949,1002603
103006,1002604
601,1002605
19901,1002606
19901,1002607
376545,1002608
376546,1002609
376545,1002610
376545,1002611
24265,1002612
10453,1002613
24190,1002614
24265,1002615
376546,1002616
376546,1002617
376545,1002618
376545,1002619
376547,1002620
376547,1002621
376546,1002622
376547,1002623
12271,1002624
