BADGE,RECOMMENDED_TRANSFORMER,CONSENSUS_TIER,IN_V1,IN_V1_HIGH_CONF,IN_V2,IN_V2_HIGH_CONF,RECOMMENDATION_TYPE,BADGE_ADDRESS,BADGE_CITY,BADGE_FEEDERID,CURRENT_TX_FEEDERID,RECOMMENDED_TX_FEEDERID,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,V1_CLUSTER_SIZE,V1_MAPPED_PEERS,V1_CONFIDENCE_GAP,V1_MAJORITY_SHARE,V1_PEER_STABILITY,V1_RECOMMENDATION_STABILITY,V2_CLUSTER_SIZE,V2_MAPPED_PEERS,V2_CONFIDENCE_GAP,V2_MAJORITY_SHARE,V2_PEER_STABILITY,V2_RECOMMENDATION_STABILITY
1020546,9212,both_high_confidence,True,True,True,True,same_feeder_ambiguous,3840 SOFT BREEZE WAY,COLO SPGS,12AP-3,12AP-3,12AP-3,50.6,39.1,11,11,0.8182,0.9091,0.988,1.0,11,11,0.8182,0.9091,1.0,1.0
1029649,370384,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6848 CUMBRE VISTA WAY,COLO SPGS,12BG-22,12BG-22,12BG-22,49.9,58.1,11,11,0.8182,0.9091,0.938,1.0,11,11,0.8182,0.9091,1.0,1.0
1029681,370382,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6787 CUMBRE VISTA WAY,COLO SPGS,12BG-22,12BG-22,12BG-22,48.7,66.6,11,11,0.8182,0.9091,0.956,1.0,11,11,0.8182,0.9091,1.0,1.0
1035783,319035,both_high_confidence,True,True,True,True,same_feeder_ambiguous,7604 DRY WILLOW WAY,COLO SPGS,,12FR-31,12FR-31,21.2,51.2,11,11,0.8182,0.9091,0.951,1.0,11,11,0.8182,0.9091,1.0,1.0
1039174,130540,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"9585 GRAND LAWN CIR, SPKG",COLO SPGS,13BG-4,13BG-4,13BG-4,92.2,113.0,11,11,0.8182,0.9091,0.9,1.0,11,11,0.8182,0.9091,1.0,1.0
1054417,365056,both_high_confidence,True,True,True,True,same_feeder_ambiguous,7126 COMPASS BEND DR,COLO SPGS,12FR-32,12FR-32,12FR-32,60.1,44.6,11,11,0.8182,0.9091,0.867,1.0,11,11,0.8182,0.9091,1.0,1.0
1056506,375990,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6346 KILDARE DR,COLO SPGS,12FR-32,12FR-32,12FR-32,28.4,38.3,11,11,0.8182,0.9091,0.8,1.0,11,11,0.8182,0.9091,1.0,1.0
1067852,123514,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"13671 HONEY RUN WAY, SPKG",COLO SPGS,12FH-14,12FH-14,12FH-14,59.7,204.6,11,11,0.8182,0.9091,0.988,1.0,11,11,0.8182,0.9091,0.933,1.0
1089484,349714,both_high_confidence,True,True,True,True,same_feeder_ambiguous,7092 BOREAL DR,COLO SPGS,12CL-12,12CL-12,12CL-12,51.5,58.1,11,11,0.8182,0.9091,0.922,1.0,11,11,0.8182,0.9091,1.0,1.0
1095085,420286,both_high_confidence,True,True,True,True,same_feeder_ambiguous,9058 STRATH PT,COLO SPGS,12FR-32,12FR-32,12FR-32,26.8,43.5,11,11,0.8182,0.9091,0.922,0.889,11,11,0.8182,0.9091,1.0,1.0
1112354,25732,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"1320 POTTER DR, HSE 2",COLO SPGS,13RI-11,13RI-11,13RI-11,11.7,68.7,11,11,0.8182,0.9091,0.856,1.0,11,11,0.8182,0.9091,1.0,1.0
1125045,13455,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"2558 PLUMTREE GRV, GARAGE",COLO SPGS,12FT-4,12FT-4,12FT-4,35.1,28.6,11,11,0.8182,0.9091,0.933,1.0,11,11,0.8182,0.9091,1.0,1.0
1126397,2467,both_high_confidence,True,True,True,True,cross_feeder_likely_gis_error,802 E SAN MIGUEL ST,COLO SPGS,12PL-1,12PL-1,12PJ-2,92.7,77.6,11,11,0.8182,0.9091,0.967,1.0,11,11,0.8182,0.9091,0.867,1.0
1157251,359664,both_high_confidence,True,True,True,True,same_feeder_ambiguous,1669 DERBYSHIRE ST,COLO SPGS,12EG-1,12EG-1,12EG-1,41.2,47.3,11,11,0.8182,0.9091,0.956,1.0,11,11,0.8182,0.9091,1.0,1.0
1159319,102058,both_high_confidence,True,True,True,True,same_feeder_ambiguous,2182 SAINT JAMES DR,COLO SPGS,13HK-2,13HK-2,13HK-2,17.9,13.8,11,11,0.8182,0.9091,0.811,0.889,11,11,0.8182,0.9091,1.0,1.0
1176845,20774,both_high_confidence,True,True,True,True,same_feeder_ambiguous,2316 W PLATTE AVE,COLO SPGS,13Y-1,13Y-1,13Y-1,60.7,36.8,11,11,0.8182,0.9091,0.911,1.0,11,11,0.8182,0.9091,1.0,1.0
1197788,24513,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"5129 PEAK VILLA HTS, LIGHTS",COLO SPGS,12AP-2,12AP-2,12AP-2,6.4,27.8,11,11,0.8182,0.9091,0.878,0.889,11,11,0.8182,0.9091,0.933,1.0
1275390,390508,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"11769 BLACK CREEK DR, LIGHT",COLO SPGS,12FH-13,12FH-13,12FH-13,58.1,74.7,11,11,0.8182,0.9091,0.967,1.0,11,11,0.8182,0.9091,1.0,1.0
1302567,22462,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"2718 MIRAGE DR, SPKG",COLO SPGS,13CW-11,13CW-11,13CW-11,14.4,50.0,11,11,0.8182,0.9091,0.933,1.0,11,11,0.8182,0.9091,1.0,1.0
1311569,8977,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"209 HARGROVE CT, LIGHTS",COLO SPGS,12WN-22,12WN-22,12WN-22,7.5,50.3,11,11,0.8182,0.9091,0.867,1.0,11,11,0.8182,0.9091,0.933,1.0
1025480,33259,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"7198 SAND CREST VW, SPKG",COLO SPGS,13BG-1,13BG-1,13BG-1,10.8,59.3,11,11,0.8182,0.9091,0.778,1.0,10,10,0.8,0.9,1.0,1.0
1277241,93723,both_high_confidence,True,True,True,True,same_feeder_ambiguous,1826 LA BELLEZZA GRV,COLO SPGS,12OV-1,12OV-1,12OV-1,47.0,149.6,11,11,0.8182,0.9091,0.811,1.0,10,10,0.8,0.9,1.0,1.0
1300735,6716,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"2078 SILKWOOD DR, SPKG",COLO SPGS,13CW-3,13CW-3,13CW-3,23.1,140.8,11,11,0.8182,0.9091,1.0,1.0,10,10,0.8,0.9,1.0,1.0
1030156,6181,both_high_confidence,True,True,True,True,same_feeder_ambiguous,8985 ESTEBURY CIR,COLO SPGS,13BG-4,13BG-4,13BG-4,77.2,96.2,11,11,0.8182,0.9091,0.967,1.0,9,9,0.7778,0.8889,1.0,1.0
1222133,24957,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"5040 SUNSUITE TRL, GARAGE",COLO SPGS,13RI-9,13RI-9,13RI-9,16.4,48.3,11,11,0.8182,0.9091,0.833,0.889,7,7,0.7143,0.8571,1.0,1.0
1033222,285129,both_high_confidence,True,True,True,True,same_feeder_ambiguous,10088 EDGEMONT RANCH LN,COLO SPGS,12KC-44,12KC-44,12KC-44,56.0,67.1,11,11,0.8182,0.9091,0.978,1.0,6,6,0.6667,0.8333,1.0,1.0
1153262,10419,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"4849 SONATA DR, HSEMTR",COLO SPGS,13CW-12,13CW-12,13CW-12,9.9,31.7,11,11,0.8182,0.9091,1.0,0.889,6,6,0.6667,0.8333,1.0,1.0
1179080,13592,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"1000 FONTMORE RD, CLUB HOUSE",COLO SPGS,13FV-1,13FV-1,13FV-1,40.2,42.7,11,11,0.8182,0.9091,0.978,0.889,6,6,0.6667,0.8333,1.0,1.0
1265982,23153,both_high_confidence,True,True,True,True,cross_feeder_likely_gis_error,"6446 NORTHWIND DR, PHONE EQUIPMENT",COLO SPGS,12AP-1,12AP-1,13CW-12,36.9,96.5,10,10,0.8,0.9,0.963,1.0,11,11,0.8182,0.9091,0.967,1.0
1004143,13202,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6532 CHANTILLY PL,COLO SPGS,13PR-4,13PR-4,13PR-4,62.9,73.0,10,10,0.8,0.9,0.963,1.0,10,10,0.8,0.9,1.0,1.0
1005016,9967,both_high_confidence,True,True,True,True,same_feeder_ambiguous,5215 LADYSLIPPER CT,COLO SPGS,12ST-21,12ST-1,12ST-1,46.1,33.0,10,10,0.8,0.9,0.963,1.0,10,10,0.8,0.9,1.0,1.0
1005541,294,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6920 HOWARD ST,GN MTN FLS,12GM-4,12GM-4,12GM-4,48.7,86.4,10,10,0.8,0.9,1.0,1.0,10,10,0.8,0.9,1.0,1.0
1010846,11362,both_high_confidence,True,True,True,True,same_feeder_ambiguous,4135 ROUND HILL DR,COLO SPGS,12ST-3,12ST-3,12ST-3,54.7,58.0,10,10,0.8,0.9,0.741,0.778,10,10,0.8,0.9,1.0,1.0
1011664,16233,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"950 DAWN BREAK LOOP, SPKG",COLO SPGS,13HK-1,13HK-1,13HK-1,15.6,53.3,10,10,0.8,0.9,0.963,1.0,10,10,0.8,0.9,1.0,1.0
