BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1099390,13803,1018,4704,14,14,1,11,0.7857,0.7143,1.0,13,5,5,1.0
1073716,1019,1018,4704,14,14,1,11,0.7857,0.7143,1.0,13,5,5,1.0
1158383,3869,3906,33679,14,14,2,12,0.8571,0.7143,1.0,13,5,5,1.0
1158399,3869,3906,33679,14,14,2,12,0.8571,0.7143,1.0,13,5,5,1.0
1003804,19691,19694,180,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1003745,298,302,189,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1000970,10502,24265,273,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1001938,157,205,390,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1001994,327,342,566,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1127600,178568,272956,750,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1027818,8288,8252,918,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1095444,391393,391390,938,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1002522,56923,24178,1057,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1055107,7510,7465,1817,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1148232,25871,25840,2063,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1006359,10593,10532,2228,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1014398,405742,425118,2269,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1006593,10102,10136,2303,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1014643,129261,129264,2430,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1007797,24101,24086,2474,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1012911,11732,11740,2902,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1053916,22886,7845,3746,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1012959,276795,276506,3983,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1097379,377867,377857,4067,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1013177,38079,68771,4303,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1013554,389921,389920,4419,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1074775,25510,13671,5132,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1019294,8134,22966,5351,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1027601,7929,7967,5595,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1023636,158080,158079,5838,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1027073,8757,8708,5881,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1227439,23252,23245,5916,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1024549,9032,23468,5921,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1022466,10893,24439,6376,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1024416,258564,258563,6493,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1024210,10859,24430,6840,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1035092,6790,22519,7345,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1029825,6961,6960,7584,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1028564,375244,17083,7826,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1081570,13887,13880,7843,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
