BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1227299,24242,24251,33127,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1184861,18887,18924,35018,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1175982,20667,243842,36596,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1219570,3968,3979,37929,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1185893,19574,19576,38274,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1189785,4444,4431,38359,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1199709,10006,23941,40291,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1216110,279080,279079,42114,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1218487,11743,11722,42662,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1227147,8899,8950,43918,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1228162,23637,23618,44193,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1277636,1785,20265,46081,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1274081,9643,9606,46686,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1276039,6536,6512,46951,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1276081,7422,7463,46966,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1306900,8558,8565,47482,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1278845,7215,7213,47704,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1279649,7455,7452,47929,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1298510,22694,7299,48050,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1286109,19360,19327,48590,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1282451,19381,19380,48655,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1298781,19551,19536,48694,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1282963,187516,207677,48743,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1298281,7455,7489,48989,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1286637,22394,22382,49022,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1288563,22628,22634,49308,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1309319,7477,7468,49719,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1300154,8764,8775,50108,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1310666,22126,6042,50854,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1306084,23058,23074,51110,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1310995,22130,6040,51820,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1249892,310077,343405,3980,13,13,2,11,0.8462,0.6923,1.0,12,9,9,1.0
1261263,310077,343405,3980,13,13,2,11,0.8462,0.6923,1.0,12,9,9,1.0
1158399,3869,3906,30679,13,13,2,11,0.8462,0.6923,1.0,12,9,9,1.0
1158383,3869,3906,30679,13,13,2,11,0.8462,0.6923,1.0,12,9,9,1.0
1146024,14724,25873,31991,9,9,1,7,0.7778,0.6667,1.0,8,9,9,1.0
1146055,25813,25873,31991,9,9,1,7,0.7778,0.6667,1.0,8,9,9,1.0
1158516,17241,17203,34014,9,9,1,7,0.7778,0.6667,1.0,8,9,9,1.0
1237748,17247,17203,34014,9,9,1,7,0.7778,0.6667,1.0,8,9,9,1.0
1186373,19561,19566,38352,9,9,1,7,0.7778,0.6667,1.0,8,9,9,1.0
1186332,27437,19566,38352,9,9,1,7,0.7778,0.6667,1.0,8,9,9,1.0
1304323,19707,19702,147,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1003705,19681,19683,166,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1003659,302,298,187,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1000836,19677,19676,193,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1001994,327,342,526,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1001578,9403,19852,534,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1002612,24265,10453,987,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1002678,17682,17646,1051,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1231809,19702,19693,1163,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1025449,24846,24837,1356,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1004281,22789,7486,1405,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1004581,23048,23066,1500,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1006545,9651,9637,1774,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1009014,24254,10571,2069,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1006359,10593,10532,2079,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1021215,12214,12271,2191,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1257381,63655,3533,2325,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1010385,49568,35177,2860,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1010609,79969,79968,3033,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1027467,24072,24044,3167,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1054104,88287,88286,3335,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1011673,6780,6741,3449,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1011863,376717,376718,3499,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1036357,22540,22526,3549,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1012844,6909,6970,3766,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1144593,2896,21025,4077,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1059113,383807,383787,4222,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1124193,932,942,4685,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1059542,384084,384085,4731,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
1158259,17307,17357,4766,6,6,1,5,0.8333,0.6667,1.0,5,9,9,1.0
