BADGE,PEER_STABILITY,PEERS_CONSIDERED,N_RUNS_SEEN
1039628,1.0,5,9
1059904,0.968,7,9
1138337,0.968,7,9
1065016,0.889,7,9
1135216,0.968,7,9
1042515,0.968,7,9
1042516,0.968,7,9
1039629,0.968,7,9
1039630,0.889,7,9
1002602,,0,9
1039632,0.981,6,9
1043767,0.981,6,9
1043768,0.889,6,9
1043769,0.981,6,9
1043714,0.981,6,9
1043719,0.981,6,9
1043760,0.981,6,9
1039633,,0,9
1039636,1.0,5,9
1056061,1.0,5,9
1134021,1.0,5,9
1137214,1.0,5,9
1039648,1.0,5,9
1039650,1.0,5,9
1039638,0.889,7,9
1190045,0.603,7,9
1189982,0.81,7,9
1190047,0.889,7,9
1190048,0.889,7,9
1190046,0.619,7,9
1132572,0.889,7,9
1190033,0.889,7,9
1039639,0.426,24,9
1039640,0.574,24,9
1039641,0.625,24,9
1039642,0.579,24,9
1046647,0.62,24,9
1039671,0.62,24,9
1039672,0.644,24,9
1039673,0.333,24,9
1039674,0.435,24,9
1046663,0.449,24,9
1046664,0.579,24,9
1046665,0.486,24,9
1046666,0.417,24,9
1046795,0.644,24,9
1046667,0.421,24,9
1046669,0.449,24,9
1046797,0.417,24,9
1046798,0.597,24,9
1046670,0.449,24,9
1046796,0.644,24,9
1046668,0.449,24,9
1046679,0.625,24,9
1046680,0.616,24,9
1046681,0.463,24,9
1046682,0.125,24,9
1039647,1.0,1,9
1039649,1.0,1,9
1039653,,0,9
1178308,0.903,8,9
1178309,0.903,8,9
1178310,0.903,8,9
1178607,0.903,8,9
1178640,0.667,8,9
1178320,0.861,8,9
1178324,0.903,8,9
1039654,0.861,8,9
1177139,0.764,8,9
1039664,1.0,5,9
1039665,1.0,5,9
1039666,1.0,5,9
1039655,1.0,5,9
1039656,1.0,5,9
1039657,1.0,5,9
1039675,1.0,4,9
1039659,1.0,4,9
1039660,1.0,4,9
1039661,1.0,4,9
1039662,1.0,4,9
1025870,0.889,7,9
1002603,0.889,7,9
1025882,0.635,7,9
1025885,0.889,7,9
1006042,0.889,7,9
1006044,0.54,7,9
1006045,0.889,7,9
1025766,0.889,7,9
1040283,0.963,3,9
1039681,0.963,3,9
1040284,0.889,3,9
1040282,0.963,3,9
1039682,,0,9
1039688,1.0,4,9
1039689,1.0,4,9
1039690,1.0,4,9
1039691,1.0,4,9
1039692,1.0,4,9
1039696,0.944,6,9
1039697,0.944,6,9
1039710,0.944,6,9
1039711,0.667,6,9
1039712,0.944,6,9
1039693,0.944,6,9
1039694,0.944,6,9
1039695,1.0,4,9
1310119,1.0,4,9
1310120,1.0,4,9
1310121,1.0,4,9
1310344,1.0,4,9
1039698,,0,9
1039699,,0,9
1039715,1.0,6,9
1039716,1.0,6,9
1039717,1.0,6,9
1039722,1.0,6,9
1039723,1.0,6,9
1039724,1.0,6,9
1039725,1.0,6,9
1039719,1.0,3,9
1039720,1.0,3,9
1039721,1.0,3,9
1039718,1.0,3,9
1039726,,0,9
1002655,1.0,1,9
1002604,1.0,1,9
1039727,0.524,14,9
1109089,0.294,14,9
1109058,0.357,14,9
1109512,0.524,14,9
1109513,0.381,14,9
1104375,0.0,14,9
1109515,0.46,14,9
1132817,0.524,14,9
1133315,0.524,14,9
1109498,0.46,14,9
1109088,0.444,14,9
1109052,0.46,14,9
1191319,0.524,14,9
1250167,0.524,14,9
1109056,0.524,14,9
1039729,1.0,2,9
1198040,1.0,2,9
1198039,1.0,2,9
1039730,,0,9
1039731,1.0,5,9
1039732,1.0,5,9
1039733,1.0,5,9
1039734,1.0,5,9
1039739,1.0,5,9
1039740,1.0,5,9
1039753,1.0,3,9
1040340,1.0,3,9
1039748,1.0,3,9
1039741,1.0,3,9
1046633,1.0,3,9
1048079,1.0,3,9
1039747,1.0,3,9
