BADGE,CURRENT_TRANSFORMER_OLD,RECOMMENDED_TRANSFORMER_OLD,CLUSTER_OLD,CURRENT_TRANSFORMER_NEW,RECOMMENDED_TRANSFORMER_NEW,CLUSTER_NEW,STATUS
1005907,5236.0,5207.0,2079.0,,,,no_longer_flagged
1005912,5480.0,5479.0,1906.0,5480.0,5479.0,1772.0,unchanged
1005914,5491.0,83808.0,1313.0,5491.0,83808.0,1198.0,unchanged
1005918,327.0,320.0,415.0,327.0,320.0,386.0,unchanged
1005923,15946.0,15936.0,2087.0,15946.0,15936.0,1929.0,unchanged
1005926,14290.0,14321.0,2090.0,14290.0,14321.0,1932.0,unchanged
1005975,13019.0,13150.0,1001.0,,,,no_longer_flagged
1005976,13019.0,13150.0,1001.0,,,,no_longer_flagged
1006011,30364.0,24062.0,2117.0,30364.0,24062.0,1961.0,unchanged
1006057,64945.0,64942.0,1452.0,,,,no_longer_flagged
1006058,13257.0,13229.0,1385.0,13257.0,13229.0,1272.0,unchanged
1006059,13257.0,13229.0,1385.0,13257.0,13229.0,1272.0,unchanged
1006060,13257.0,13229.0,1385.0,13257.0,13229.0,1272.0,unchanged
1006071,24292.0,10671.0,34.0,24292.0,10671.0,33.0,unchanged
1006203,11852.0,11897.0,1881.0,11852.0,11897.0,1746.0,unchanged
1006204,11852.0,11897.0,1881.0,11852.0,11897.0,1746.0,unchanged
