NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
20176,5,5,3
20213,4,4,2
20219,6,6,3
20222,4,4,2
20244,4,4,4
20251,4,4,2
20256,5,5,4
20258,9,9,3
20259,4,4,3
20264,8,8,2
20267,5,5,2
20275,7,7,2
20276,6,6,5
20290,2,2,2
20332,6,6,2
20338,5,5,2
20339,6,6,2
20349,6,6,2
20366,5,5,2
20372,8,8,2
20414,3,3,2
20457,3,3,2
20459,5,5,2
20465,6,6,2
20467,8,8,2
20477,2,2,2
20499,6,6,3
20504,12,12,4
20533,2,2,2
20596,3,3,2
20602,4,4,2
20603,4,4,2
20604,3,3,2
20619,10,10,2
20620,5,5,3
20625,3,3,3
20638,6,6,2
20639,4,4,4
20657,10,10,2
20659,9,9,2
20665,6,6,2
20674,6,6,3
20685,6,6,2
20691,6,6,2
20729,6,6,2
20730,7,7,2
2074,10,10,2
20744,6,6,2
20746,2,2,2
20767,5,5,2
20782,6,6,2
20819,6,6,2
20833,6,6,2
20852,9,9,2
20854,4,4,2
20868,6,6,2
20902,8,8,3
20907,7,7,2
20908,6,6,2
20910,2,2,2
20918,3,3,3
20919,4,4,2
2093,2,2,2
20930,10,10,3
20937,7,7,4
20938,7,7,3
20939,3,3,2
20942,6,6,2
20944,4,4,3
20947,6,6,2
20954,4,4,4
20956,2,2,2
20957,10,10,2
20958,7,7,3
20962,3,3,3
20963,2,2,2
20965,4,4,2
20973,2,2,2
20975,2,2,2
20978,10,10,2
20983,6,6,3
20988,9,9,6
20991,3,3,2
20993,2,2,2
20998,3,3,3
21000,4,4,3
21003,8,8,2
21018,4,4,2
21022,3,3,3
21027,7,7,2
21030,5,5,2
21037,6,6,3
21045,8,8,2
21054,5,5,2
21069,2,2,2
21070,13,13,4
21112,8,8,4
21123,10,10,2
21128,8,8,2
21129,2,2,2
21131,7,7,2
21135,5,5,2
21161,10,10,2
21162,8,8,2
21165,7,7,3
21166,6,6,3
21175,6,6,2
21187,4,4,2
21191,8,8,3
21195,7,7,2
21227,2,2,2
21248,5,5,2
21269,11,11,2
21282,4,4,2
21284,3,3,2
21299,4,4,3
2130,6,6,2
21300,6,6,2
21304,4,4,2
21306,4,4,3
21308,6,6,2
21325,17,17,4
21327,6,6,2
21333,4,4,3
21334,5,5,5
21339,6,6,3
21349,6,6,3
21353,5,5,4
21354,6,6,3
21379,8,8,4
21380,6,6,4
21392,4,4,2
21394,6,6,2
21440,7,7,2
21445,13,13,2
21458,9,9,2
21463,6,6,3
21470,14,14,2
21474,3,3,3
21490,5,5,2
21503,3,3,2
21526,6,6,2
21535,12,12,3
21537,3,3,3
21604,12,12,2
21613,6,6,2
21614,5,5,2
21619,6,6,3
21620,5,5,2
21624,3,3,2
21626,7,7,2
21640,6,6,2
21674,2,2,2
21677,7,7,2
21679,6,6,2
21686,10,10,3
21689,10,10,2
21690,5,5,4
21696,8,8,2
217,3,3,2
21700,3,3,2
21749,7,7,5
21785,8,8,2
21790,6,6,2
21817,6,6,2
21820,6,6,2
21830,11,11,6
21835,9,9,2
21838,4,4,2
21844,5,5,2
21850,5,5,2
21862,6,6,3
21870,7,7,5
21885,6,6,3
2191,7,7,2
21917,4,4,2
21980,2,2,2
21981,4,4,2
2199,11,11,2
21994,3,3,2
22002,2,2,2
22019,36,36,7
22033,4,4,2
22052,6,6,2
22062,3,3,3
22063,3,3,2
22069,5,5,3
