BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1001928,6,4,0,2,0.6
1001930,9,10,1,0,0.8889
1001931,8,7,0,1,0.8571
1001935,1,8,7,0,0.0
1001937,7,1,0,6,0.0
1001940,8,9,1,0,0.875
1001941,11,7,0,4,0.6
1001942,10,9,1,2,0.7
1001943,16,14,0,2,0.8667
1001946,6,1,0,5,0.0
1001948,7,8,1,0,0.8571
1001949,7,8,1,0,0.8571
1001950,1,8,7,0,0.0
1001952,6,5,0,1,0.8
1001953,12,19,8,1,0.5263
1001954,5,11,6,0,0.4
1001955,6,7,1,0,0.8333
1001956,5,19,17,3,0.0476
1001958,9,16,9,2,0.3529
1001963,3,2,0,1,0.5
1001967,11,10,0,1,0.9
1001970,7,1,0,6,0.0
1001971,10,13,9,6,0.1667
1001975,6,7,1,0,0.8333
1001977,2,22,21,1,0.0
1001984,6,2,0,4,0.2
1001986,2,1,0,1,0.0
1001989,4,2,0,2,0.3333
1001990,7,6,0,1,0.8333
1001991,12,6,0,6,0.4545
1001999,7,6,0,1,0.8333
1002000,4,3,0,1,0.6667
1002001,5,3,0,2,0.5
1002002,4,1,0,3,0.0
1002004,2,1,0,1,0.0
1002022,14,9,0,5,0.6154
1002023,7,7,1,1,0.7143
1002029,5,3,0,2,0.5
1002030,5,3,0,2,0.5
1002036,8,9,1,0,0.875
1002037,1,9,8,0,0.0
1002038,8,9,1,0,0.875
1002039,8,9,1,0,0.875
1002040,5,2,0,3,0.25
1002048,4,3,0,1,0.6667
1002049,5,2,0,3,0.25
1002050,4,3,0,1,0.6667
1002051,2,1,0,1,0.0
1002053,5,2,0,3,0.25
1002054,5,1,0,4,0.0
1002055,5,2,0,3,0.25
1002058,11,3,0,8,0.2
1002059,11,4,0,7,0.3
1002061,6,7,1,0,0.8333
1002063,1,7,6,0,0.0
1002068,3,2,0,1,0.5
1002070,11,4,0,7,0.3
1002073,5,3,0,2,0.5
1002075,5,2,0,3,0.25
1002076,5,2,0,3,0.25
1002077,7,1,0,6,0.0
1002078,5,3,0,2,0.5
1002079,6,3,0,3,0.4
1002084,34,2,0,32,0.0303
1002085,34,29,0,5,0.8485
1002086,34,29,0,5,0.8485
1002087,34,29,0,5,0.8485
1002088,5,4,0,1,0.75
1002089,2,1,0,1,0.0
1002090,5,4,0,1,0.75
1002096,34,29,0,5,0.8485
1002097,34,29,0,5,0.8485
1002098,11,1,0,10,0.0
1002100,6,3,0,3,0.4
1002101,6,3,0,3,0.4
1002102,11,3,0,8,0.2
1002105,2,1,0,1,0.0
1002112,34,29,0,5,0.8485
1002113,34,29,0,5,0.8485
1002114,34,2,0,32,0.0303
1002115,34,29,0,5,0.8485
1002121,34,29,0,5,0.8485
1002122,34,29,0,5,0.8485
