BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1132993,278401,168318,4314,8,8,1,7,0.875,0.75
1013177,38079,68771,4345,8,8,1,7,0.875,0.75
1013186,375723,23402,4352,8,8,1,7,0.875,0.75
1270148,1870,378268,4404,8,8,1,7,0.875,0.75
1015390,350091,350092,4405,8,8,1,7,0.875,0.75
1014181,390373,390374,4442,8,8,1,7,0.875,0.75
1134141,384796,384797,4566,8,8,1,7,0.875,0.75
1095103,390688,390689,4810,8,8,1,7,0.875,0.75
1023514,7558,7575,4978,8,8,1,7,0.875,0.75
1121804,24987,12390,5032,8,8,1,7,0.875,0.75
1125432,1342,1326,5159,8,8,1,7,0.875,0.75
1135976,195839,263050,5200,8,8,1,7,0.875,0.75
1132984,8836,8852,5806,8,8,1,7,0.875,0.75
1190372,16795,16797,5873,8,8,1,7,0.875,0.75
1020879,23690,23710,5881,8,8,1,7,0.875,0.75
1020669,9073,9027,5951,8,8,1,7,0.875,0.75
1020695,9114,9073,5962,8,8,1,7,0.875,0.75
1027124,9809,9808,5971,8,8,1,7,0.875,0.75
1022122,24016,23968,6360,8,8,1,7,0.875,0.75
1022466,10893,24439,6491,8,8,1,7,0.875,0.75
1022790,449229,449228,6601,8,8,1,7,0.875,0.75
1024392,10994,11012,6631,8,8,1,7,0.875,0.75
1024899,20857,20823,7150,8,8,1,7,0.875,0.75
1040672,22392,22423,7907,8,8,1,7,0.875,0.75
1046418,7109,7110,7928,8,8,1,7,0.875,0.75
1037296,22551,6894,7931,8,8,1,7,0.875,0.75
1035593,376893,376892,8018,8,8,1,7,0.875,0.75
1036722,158075,159044,8226,8,8,1,7,0.875,0.75
1035835,336319,336316,8611,8,8,1,7,0.875,0.75
1034849,7483,7514,8802,8,8,1,7,0.875,0.75
1041457,6408,6372,9120,8,8,1,7,0.875,0.75
1032790,370316,370315,9404,8,8,1,7,0.875,0.75
1033564,350075,349900,9598,8,8,1,7,0.875,0.75
1034905,22377,22393,9952,8,8,1,7,0.875,0.75
1035435,344337,343441,10084,8,8,1,7,0.875,0.75
1036052,77723,77724,10262,8,8,1,7,0.875,0.75
1038244,375004,375005,10492,8,8,1,7,0.875,0.75
1037142,23585,9300,10528,8,8,1,7,0.875,0.75
1041470,6510,6475,10719,8,8,1,7,0.875,0.75
1038770,9650,9678,10903,8,8,1,7,0.875,0.75
1039608,375060,375061,11135,8,8,1,7,0.875,0.75
1054945,146880,146882,11626,8,8,1,7,0.875,0.75
1042059,375410,375406,11714,8,8,1,7,0.875,0.75
1056716,343316,343315,12215,8,8,1,7,0.875,0.75
1056174,265930,266235,12368,8,8,1,7,0.875,0.75
1045669,375671,375669,12504,8,8,1,7,0.875,0.75
1056506,375989,375990,12658,8,8,1,7,0.875,0.75
1060281,192316,323837,13017,8,8,1,7,0.875,0.75
1057413,14138,20530,14281,8,8,1,7,0.875,0.75
1059836,22069,22066,14546,8,8,1,7,0.875,0.75
1061976,21998,21995,14727,8,8,1,7,0.875,0.75
1060037,26242,26240,15026,8,8,1,7,0.875,0.75
1088120,16033,16015,15104,8,8,1,7,0.875,0.75
1155450,18933,18959,15125,8,8,1,7,0.875,0.75
1059849,94047,3371,15170,8,8,1,7,0.875,0.75
1083674,26240,26239,15223,8,8,1,7,0.875,0.75
1082115,26192,26198,15274,8,8,1,7,0.875,0.75
1063164,343680,375307,15473,8,8,1,7,0.875,0.75
1060743,267521,267520,15479,8,8,1,7,0.875,0.75
1061408,20666,181759,15653,8,8,1,7,0.875,0.75
1067699,273281,263037,16561,8,8,1,7,0.875,0.75
1068313,384031,383573,17021,8,8,1,7,0.875,0.75
1074807,264003,264004,17429,8,8,1,7,0.875,0.75
1070714,18749,18790,17605,8,8,1,7,0.875,0.75
1072904,235844,235841,18060,8,8,1,7,0.875,0.75
1079891,26311,26310,18398,8,8,1,7,0.875,0.75
1075194,35494,35492,19017,8,8,1,7,0.875,0.75
1084357,19314,19324,19526,8,8,1,7,0.875,0.75
1078092,27043,27054,19663,8,8,1,7,0.875,0.75
1093244,18022,26992,20128,8,8,1,7,0.875,0.75
1089627,14360,14339,21581,8,8,1,7,0.875,0.75
1088661,14558,14744,21934,8,8,1,7,0.875,0.75
1088826,349712,349996,21972,8,8,1,7,0.875,0.75
1091065,18320,18357,22673,8,8,1,7,0.875,0.75
1093365,18338,18374,22869,8,8,1,7,0.875,0.75
1099208,17555,26755,23617,8,8,1,7,0.875,0.75
1094294,16860,16909,23822,8,8,1,7,0.875,0.75
1096000,390699,396060,24058,8,8,1,7,0.875,0.75
1096827,396077,396078,24086,8,8,1,7,0.875,0.75
1232995,,26111,24338,9,8,0,6,0.75,0.75
1124384,2431,2452,24415,8,8,1,7,0.875,0.75
1183770,280966,24453,24461,8,8,1,7,0.875,0.75
1096730,11533,11522,24509,8,8,1,7,0.875,0.75
1099523,13025,13076,24983,8,8,1,7,0.875,0.75
1110155,17039,17037,25175,8,8,1,7,0.875,0.75
1102271,16923,16961,25721,8,8,1,7,0.875,0.75
1109075,26584,16913,26311,8,8,1,7,0.875,0.75
1111205,86366,86365,27362,8,8,1,7,0.875,0.75
1114013,25505,25508,28537,8,8,1,7,0.875,0.75
1115321,50858,50857,28872,8,8,1,7,0.875,0.75
1233008,,439455,29398,10,8,0,6,0.75,0.75
1232982,,439455,29398,10,8,0,6,0.75,0.75
1154281,473025,473020,29428,8,8,1,7,0.875,0.75
1119131,425115,429851,29432,8,8,1,7,0.875,0.75
1220928,12542,25051,29949,8,8,1,7,0.875,0.75
1123083,25391,13336,30188,8,8,1,7,0.875,0.75
1123169,12869,12870,30237,8,8,1,7,0.875,0.75
1302245,1358,1378,30347,8,8,1,7,0.875,0.75
1123790,12073,12046,30369,8,8,1,7,0.875,0.75
1123711,12104,12160,30391,8,8,1,7,0.875,0.75
1205608,1420,1418,30736,8,8,1,7,0.875,0.75
1125299,1267,20047,30755,8,8,1,7,0.875,0.75
1127612,21407,21400,31538,8,8,1,7,0.875,0.75
1286232,20421,20440,31564,8,8,1,7,0.875,0.75
1170140,10422,24220,31585,8,8,1,7,0.875,0.75
1154340,17363,17409,31749,8,8,1,7,0.875,0.75
1299023,7285,7306,32041,8,8,1,7,0.875,0.75
1283075,7359,7373,32053,8,8,1,7,0.875,0.75
1138100,12478,12415,32268,8,8,1,7,0.875,0.75
1282871,153292,2112,32454,8,8,1,7,0.875,0.75
1303867,6910,6890,33606,8,8,1,7,0.875,0.75
1136190,8501,8681,34162,8,8,1,7,0.875,0.75
1298458,21703,4923,34558,8,8,1,7,0.875,0.75
1152942,19438,27362,37372,8,8,1,7,0.875,0.75
1153093,119339,21159,37466,8,8,1,7,0.875,0.75
